name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
Nova Southeastern University,42.1,466,39.4,252,10.6,1434,87.5,198,36.9,1724,28.9,1310,"17,952",852,16.3,886,4%,1106
Örebro University,42.1,467,17.7,1387,21.8,675,87.1,203,37.7,1362,55.1,572,"10,005",1302,15.2,1023,5%,1013
University of Passau,42.1,468,35.6,331,38.1,262,54.5,771,43,674,53.6,595,"9,703",1332,69.2,8,12%,575
University of Pisa,42.1,469,28.8,572,30.2,426,69.2,500,41.7,780,40.6,942,"33,791",303,21.9,436,6%,905
University of Plymouth,42.1,470,22.2,931,22.7,637,79.6,326,37.2,1552,73,302,"15,605",972,17.7,743,16%,431
Pontificia Universidad Católica de Chile,42.1,471,24.2,798,31.9,389,66.2,553,70.3,192,56.2,549,"31,578",367,16,920,4%,1111
University of Porto,42.1,472,26.6,668,32.3,378,63.7,597,41.9,762,57.9,514,"33,484",313,16.2,893,16%,433
University of Portsmouth,42.1,473,18.8,1229,19.2,790,76.3,386,37.6,1386,91.4,98,"22,490",651,16.4,874,29%,153
Qazvin University of Medical Sciences,42.1,474,30.6,496,10.3,1472,99.9,11,37,1639,22.6,1591,"2,598",1740,9.2,1634,1%,1631
Qom University of Medical Sciences,42.1,475,28.9,567,9.8,1540,100,3,37,1637,19.4,1711,"2,272",1748,9.1,1640,4%,1145
Quaid-i-Azam University,42.1,476,26.9,654,22.9,629,78.7,350,38.2,1238,48.6,704,"9,250",1360,16.5,869,1%,1550
Sabancı University,42.1,477,25.5,712,37.7,270,57,718,73.4,168,59.7,485,"3,819",1696,20,569,10%,680
Sharif University of Technology,42.1,478,33.5,393,36.3,289,60.4,659,89.5,74,31.6,1207,"9,219",1364,22.5,406,2%,1319
Shenzhen University,42.1,479,23,874,27.9,476,86,218,50.5,402,34.5,1117,"38,240",222,14.1,1160,1%,1579
University of Siena,42.1,480,21.5,988,25.3,549,79.9,320,41.7,778,43.5,850,"12,948",1129,18.7,667,9%,734
South China University of Technology,42.1,481,28.2,596,35.6,304,70.7,476,80.7,108,34.4,1121,"40,082",193,12.7,1316,5%,1027
Southeast University,42.1,482,34.8,352,42.3,208,47.2,901,93.7,47,37.8,1018,"37,484",233,12.3,1356,4%,1132
Southern Medical University,42.1,483,38.6,270,37.7,267,58,702,43.8,623,25,1461,"20,432",732,10.7,1510,6%,952
SRUC (Scotland’s Rural College),42.1,484,23.6,832,12.6,1220,92.1,121,42.5,718,59.1,498,"1,325",1779,5.3,1763,8%,822
University of Strathclyde,42.1,485,32,444,33.9,325,56.1,738,47.8,461,89.7,115,"19,840",755,17,812,29%,151
Sumy State University,42.1,486,19.5,1168,12.3,1258,94.5,97,39.9,975,57.2,527,"8,703",1409,11.4,1451,21%,310
Syracuse University,42.1,487,34.9,349,28,474,64.3,585,37.2,1558,50.7,654,"20,620",723,14.9,1051,23%,245
Universiti Teknologi Petronas,42.1,488,26.8,659,33.8,328,58.9,687,77.6,139,76.7,256,"5,021",1645,13.6,1215,16%,440
Tianjin University,42.1,489,35.3,335,42.8,201,51.6,823,89.9,68,41.5,921,"27,353",492,8.7,1654,12%,614
Ton Duc Thang University,42.1,490,13.5,1769,16,961,99.2,22,39.8,989,58.4,507,"27,878",478,25.3,301,1%,1471
University of Trento,42.1,491,27,653,32.3,377,66.5,544,41.1,831,56.9,533,"14,219",1056,19.2,630,8%,780
The University of Tulsa,42.1,492,37.8,283,17.1,883,75.6,398,48,458,36.4,1058,"4,407",1675,12,1398,10%,710
University of Turin,42.1,493,21.5,989,29.7,434,77.5,367,43.9,618,41.4,928,"58,463",71,28.4,215,6%,896
TU Wien,42.1,494,40.1,232,37.4,274,38.1,1065,62,250,87.6,143,"10,327",1282,17.7,745,31%,131
Umeå University,42.1,495,21.9,957,29.6,437,78.4,354,38.5,1185,64.5,414,"18,218",841,12.6,1336,11%,645
Urmia University of Medical Sciences,42.1,496,35,342,10,1509,90.4,142,36.9,1719,19.7,1698,"4,644",1665,12,1397,2%,1406
Universiti Utara Malaysia,42.1,497,33.4,398,25.7,532,60.2,661,41.2,823,74.8,274,"12,457",1154,11.6,1428,30%,143
Victoria University of Wellington,42.1,498,27.8,610,34,324,53.2,790,53.7,341,87.4,146,"17,883",857,18.8,655,20%,332
University of Waikato,42.1,499,21.6,982,28.1,473,66.4,550,40.8,862,95.4,39,"10,472",1274,17.6,756,31%,132
University of the West of England,42.1,500,18.3,1297,14.6,1059,92.9,111,37.6,1384,72.9,304,"24,585",580,15.9,935,23%,244
William & Mary,42.1,501,43.7,174,21.4,686,64.3,586,37.3,1507,35.7,1076,"8,089",1451,10.9,1494,8%,814
Xiamen University,42.1,502,30.8,486,28.5,460,78.4,355,53.1,352,28.3,1333,"42,760",161,15.4,987,2%,1365
York University,42.1,503,25.1,735,33.1,348,67,539,42.1,742,75.3,268,"44,036",152,29.1,198,28%,163
Aberystwyth University,39.3,504,22.3,923,23.4,611,64.1,589,39.8,992,81.1,210,"6,180",1584,16.3,889,24%,227
An-Najah National University,39.3,505,13.3,1773,8.9,1664,98.4,38,38.1,1267,64.1,423,"23,922",604,23.9,348,10%,674
University of L’Aquila,39.3,506,33,408,24.3,579,69.2,501,54.8,325,34.6,1115,"18,491",819,40.2,60,4%,1051
Bauman Moscow State Technical University,39.3,507,56.6,76,32,383,23.8,1335,81,107,49.5,679,"16,925",902,6.8,1737,15%,482
Beihang University,39.3,508,32.9,410,39.6,246,48.4,883,90,65,27.1,1379,"31,821",360,12.9,1291,4%,1129
Beijing Institute of Technology,39.3,509,33.6,390,36.2,291,49.9,854,99.8,16,25.8,1431,"35,710",271,14.2,1143,6%,939
Birmingham City University,39.3,510,16.3,1573,10.8,1421,90.3,146,37.1,1590,72,324,"22,935",637,16.6,856,26%,198
University of Bradford,39.3,511,22,949,22.7,638,62.5,615,39.7,1003,84.2,171,"8,400",1435,19.1,637,30%,140
Bucharest University of Economic Studies,39.3,512,17.9,1352,11.1,1378,97.7,51,37.8,1339,24.6,1492,"22,723",642,16.2,896,4%,1108
Centrale Nantes,39.3,513,31.9,448,28.7,459,45.3,938,81,106,86.3,153,"1,730",1767,15.7,967,43%,45
Changsha University of Science and Technology,39.3,514,15.5,1644,11.8,1303,93.8,101,54.8,324,23.5,1540,"33,342",318,15.3,1006,1%,1563
Charles University in Prague,39.3,515,33.2,402,31,409,49.7,860,37.3,1513,64.3,417,"49,787",99,13.2,1251,22%,274
University of Côte d’Azur,39.3,516,24.9,753,21.1,703,69.9,487,37.6,1387,74,287,"31,723",363,20.2,549,20%,328
Damietta University,39.3,517,17,1480,8.2,1758,99.9,13,37.5,1413,39,984,"30,084",407,24.7,316,1%,1473
Durban University of Technology,39.3,518,17.6,1405,11.6,1316,90,151,38.5,1181,38.8,988,"27,063",504,36.5,92,1%,1448
Eastern Mediterranean University,39.3,519,22.4,917,14.2,1091,76.6,379,46.1,517,89.3,119,"14,375",1050,27,249,76%,4
École des Mines de Saint-Étienne,39.3,520,32.3,437,30.8,413,51.6,824,76.1,149,70.9,333,"1,115",1787,9.9,1592,25%,219
Federal University of Toulouse Midi-Pyrénées,39.3,521,26.4,676,27.5,488,61.2,643,39.9,980,66,390,"108,889",22,19.8,579,14%,497
Florida International University,39.3,522,32.2,441,27.4,490,62.7,613,37.9,1316,41.7,913,"35,590",276,23.3,374,9%,728
University of Fribourg,39.3,523,29.3,552,31.3,399,54.8,765,49.4,421,82.5,188,"6,880",1539,15.6,975,14%,505
"Goldsmiths, University of London",39.3,524,25.5,713,25.9,524,63.4,600,37,1654,80.7,213,"9,215",1365,14.9,1057,39%,67
Government College University Faisalabad,39.3,525,16.8,1510,13.1,1182,88.1,179,37,1641,45.3,794,"21,219",699,27.3,241,0%,1678
University of Greenwich,39.3,526,18.1,1324,16.8,907,78.2,357,37.8,1343,94.6,52,"15,045",1010,20.2,553,44%,38
University of Guelph,39.3,527,29.5,542,33.4,337,48.7,875,49.3,425,60.6,467,"22,763",639,27.4,238,10%,673
Gwangju Institute of Science and Technology (GIST),39.3,528,44.5,167,40.8,223,31.4,1179,76.8,146,39.8,962,"1,808",1764,10,1582,8%,819
Harokopio University,39.3,529,23.2,857,24.2,585,76.2,387,43.9,619,43.9,834,"3,125",1721,46.6,34,3%,1157
Heriot-Watt University,39.3,530,31.2,479,31.1,404,48.3,884,43,677,94,64,"9,735",1327,17.9,723,37%,76
Hokkaido University,39.3,531,43.1,187,40.8,224,32.2,1166,65.4,227,44,831,"18,263",837,8.4,1676,11%,659
Hong Kong Baptist University,39.3,532,26.5,671,28.2,470,57.4,711,40.1,946,98,13,"8,358",1439,12.4,1354,62%,9
University of Hull,39.3,533,25.3,718,24.6,571,62.1,620,38.2,1247,77.6,244,"12,565",1149,17.2,793,19%,354
University of Iceland,39.3,534,18.7,1247,32,387,66.3,552,63.1,243,61.6,459,"10,642",1262,17.9,722,10%,685
Indian Institute of Technology Ropar,39.3,535,30.1,522,15.4,997,78.4,356,42.7,704,19.4,1710,"2,339",1747,13.6,1218,0%,1764
University of Insubria,39.3,536,18,1338,22.6,644,84.8,237,38.6,1171,40.3,952,"9,789",1321,27,250,6%,899
"International Institute of Information Technology, Hyderabad",39.3,537,18.4,1280,23.1,625,79.5,332,68.8,204,30.2,1263,"1,862",1761,18.1,713,7%,856
Iran University of Science and Technology,39.3,538,32.6,423,36.8,282,54.2,772,98.4,26,21.2,1645,"15,436",985,33.9,124,1%,1451
"Islamic Azad University, Najafabad Branch (IAUN)",39.3,539,21.9,958,8.5,1717,96.4,74,37.3,1495,23.5,1544,"21,971",671,17.7,738,0%,1729
Constructor University,39.3,540,34.5,364,31.4,397,40.5,1018,56.2,304,90.2,109,"1,556",1771,21.6,456,84%,2
Jamia Millia Islamia,39.3,541,36.6,307,12.5,1228,75.8,395,38.2,1239,27.7,1359,"10,481",1272,11.2,1473,2%,1412
Jimma University,39.3,542,14.7,1711,9.5,1578,100,4,37.5,1412,39.5,973,"30,473",391,16.3,882,0%,1741
Johannes Kepler University of Linz,39.3,543,32.5,427,32.9,353,42.3,980,73.1,171,70.4,341,"7,133",1518,22.5,407,13%,537
Jordan University of Science and Technology,39.3,544,15.7,1624,10.3,1480,92.2,120,38.2,1235,50.6,657,"25,905",540,14.9,1050,13%,556
Kafrelsheikh University,39.3,545,13.6,1763,8.4,1736,96.7,71,39.2,1075,48.3,713,"62,533",58,26.1,269,2%,1308
Kashan University of Medical Sciences and Health Services,39.3,546,32,445,13.4,1149,84,249,37.4,1457,22.9,1576,"3,419",1708,12.8,1315,2%,1403
Keele University,39.3,547,21.1,1028,24.8,564,68.4,511,37.5,1419,73.1,300,"9,170",1369,15.3,1013,16%,437
University of Kentucky,39.3,548,36.1,320,27.3,494,59.2,682,40.4,904,39,982,"27,216",497,11.2,1465,4%,1135
Kermanshah University of Medical Sciences,39.3,549,20.8,1049,10.3,1475,95,93,37.3,1496,39.3,976,"5,759",1606,9.6,1612,12%,610
University of Kragujevac,39.3,550,21.5,990,8.3,1741,96,80,39.3,1058,33.3,1156,"16,679",915,15.8,953,1%,1557
Kyushu University,39.3,551,46,147,42.5,205,34.8,1113,71,188,43.6,845,"18,568",813,7.8,1709,14%,530
Lebanese American University,39.3,552,29.4,547,11.9,1295,69.5,495,37,1651,86.5,150,"7,057",1530,10.1,1568,19%,364
University of Lille,39.3,553,30.7,491,21.5,681,59.5,677,42.2,736,62.5,446,"75,291",36,29.6,188,14%,489
University of Lisbon,39.3,554,26.4,677,35.7,302,53.4,788,43,675,60.4,471,"48,404",107,18.1,705,18%,377
University of Management and Technology,39.3,555,14.8,1701,9.5,1576,99.9,12,39.5,1029,45.4,792,"22,520",648,22.2,422,2%,1322
University of Messina,39.3,556,31.7,455,23.6,604,72.1,455,38.6,1172,32.1,1189,"15,290",995,24.2,339,3%,1175
Middle East Technical University,39.3,557,37.5,290,42.4,206,35.4,1104,99.9,14,44.6,813,"17,151",891,22.5,405,10%,675
Missouri University of Science and Technology,39.3,558,29,563,26.7,506,61.3,639,58.7,286,62.9,439,"7,617",1482,22.3,419,9%,731
University of Mons,39.3,559,23.1,868,27,499,60.1,665,41.3,814,69.9,345,"7,450",1493,26.9,252,17%,400
National Tsing Hua University,39.3,560,32.6,424,42.6,204,47.2,900,69.2,202,43,870,"13,711",1083,16.3,887,11%,632
National Yang Ming Chiao Tung University,39.3,561,41.3,211,46.7,160,34.9,1112,79.9,117,41.3,929,"16,425",925,14.2,1150,11%,639
University of Neuchâtel,39.3,562,26.2,684,25.2,554,58.3,699,39.5,1033,88.7,127,"4,148",1680,11.1,1484,21%,311
University of Nicosia,39.3,563,19.6,1158,16.6,920,75.7,396,37.4,1461,94.8,49,"4,696",1661,11.3,1463,54%,18
Northumbria University,39.3,564,20.5,1077,22.4,647,71.5,465,37.5,1418,81.6,201,"22,500",650,16.2,897,22%,268
Northwestern Polytechnical University,39.3,565,30.2,515,37.7,269,54.8,764,69.5,197,40.1,953,"34,095",296,13.9,1186,4%,1125
Nottingham Trent University,39.3,566,19.4,1178,15,1025,79.6,328,37.5,1416,82.2,194,"29,925",414,15.3,1007,21%,303
Open University of Catalonia,39.3,567,20,1126,18.9,801,81.2,295,37.7,1363,48.1,716,"32,319",345,100.5,3,6%,886
University of Peradeniya,39.3,568,17.3,1442,8.9,1660,99.2,23,39.1,1088,40.3,951,"16,123",941,10.7,1511,1%,1624
Universitat Ramon Llull,39.3,569,19.5,1169,17,895,83.6,254,40,957,66.5,386,"14,900",1023,22.2,425,19%,351
Saint-Petersburg Mining University,39.3,570,22.6,903,14.5,1066,83.3,258,82.3,101,35.3,1082,"7,944",1461,13,1285,12%,601
University of Salerno,39.3,571,18.9,1219,23.3,614,77.4,369,39.1,1090,35,1098,"26,289",527,27.4,237,3%,1168
University of Saskatchewan,39.3,572,36.7,305,30.3,420,48.6,880,69.7,195,75,269,"17,741",865,17.6,753,22%,264
University of Sassari,39.3,573,32.1,442,27.6,484,62.4,617,38.4,1204,37.9,1016,"15,065",1009,37.9,79,2%,1289
Saveetha Institute of Medical and Technical Sciences,39.3,574,22.4,918,8.5,1716,97.1,59,38.1,1268,35.3,1087,"12,394",1161,7.4,1726,1%,1640
Sciences Po,39.3,575,28.8,573,25.1,556,57.9,705,39.1,1094,82.1,195,"12,872",1135,45.2,39,37%,75
Shiraz University of Technology,39.3,576,28.4,586,22.8,630,78,362,42.1,741,29.4,1292,"1,437",1774,13.8,1201,0%,1763
SOAS University of London,39.3,577,33.9,382,38.5,257,42.4,978,37,1673,81.4,203,"4,655",1664,12.8,1314,53%,19
University of South Carolina-Columbia,39.3,578,35,343,24,590,65.5,564,37.6,1390,45.9,775,"33,025",328,15.6,970,5%,1007
Southwestern University of Finance and Economics,39.3,579,20,1127,12.8,1205,93.6,105,39.8,990,39.7,966,"23,330",624,16.4,873,2%,1356
University of Stavanger,39.3,580,20.7,1057,15.6,983,72.3,453,41.3,813,77,251,"11,089",1237,11.4,1450,11%,651
Stevens Institute of Technology,39.3,581,22.8,889,20.5,722,69.6,493,37.6,1388,73.5,292,"6,624",1550,18.6,676,35%,92
SUNY University at Albany,39.3,582,24.6,776,25.7,535,71.4,466,44.6,580,50.4,660,"16,090",945,17.2,790,8%,782
University of Tabuk,39.3,583,16.1,1590,8.6,1712,87.9,186,41.7,774,72.9,303,"29,471",424,14.4,1117,2%,1377
Technion Israel Institute of Technology,39.3,584,33.7,386,30.9,411,51.2,829,38.6,1174,72,322,"15,147",1004,21,492,12%,586
Tokyo Medical and Dental University (TMDU),39.3,585,45.1,158,29.7,431,44,954,74.5,160,31.7,1203,"3,010",1727,4.4,1772,11%,664
University of Trieste,39.3,586,28.5,583,25.5,540,63.8,595,39,1111,47.5,733,"16,677",916,24.9,309,7%,837
University of Tsukuba,39.3,587,43.9,172,37.8,265,38.5,1052,43.7,633,43,871,"15,725",965,12.7,1323,16%,442
TU Dortmund University,39.3,588,35.9,326,43.2,198,43.7,959,46.1,519,44.2,827,"25,046",565,74.8,6,10%,665
University of Tuscia,39.3,589,19.1,1201,20.2,737,81.6,287,47.7,464,39.5,970,"6,272",1578,20,567,4%,1082
University of Udine,39.3,590,26.1,687,19.6,756,73.6,435,39.9,978,38.2,1008,"12,326",1165,18.5,683,5%,990
UiT The Arctic University of Norway,39.3,591,22.8,890,20.8,714,75.3,404,39,1106,68.6,362,"14,377",1049,10.1,1566,10%,716
University of Valencia,39.3,592,23,875,23.8,597,71.3,468,39,1108,49.9,672,"50,575",93,14.3,1130,14%,508
University of Vic – Central University of Catalonia,39.3,593,16.1,1591,12,1290,91.6,124,37.9,1311,59.7,487,"6,472",1557,14,1182,20%,338
Victoria University,39.3,594,25.5,714,26.9,502,63.6,598,44.5,586,79.1,229,"16,106",942,45.2,38,25%,206
Virginia Commonwealth University,39.3,595,28.9,568,12.3,1252,86.2,215,42.5,719,30.7,1244,"26,472",520,10.7,1508,4%,1137
Wayne State University,39.3,596,34,378,18.6,813,67.2,535,48.8,436,35.3,1085,"22,941",635,11.9,1400,5%,1032
The University of the West Indies,39.3,597,17.6,1406,10.8,1418,90.3,145,38.9,1127,58.1,511,"24,811",574,17,808,1%,1542
Xi’an Jiaotong University,39.3,598,36.4,317,42.7,202,47.1,903,75,156,29.4,1290,"44,942",145,14.1,1158,6%,940
University of Zambia,39.3,599,15.7,1625,9.2,1623,96.8,70,38.4,1200,49.9,673,"16,903",903,21.2,475,1%,1500
Zayed University,39.3,600,17.7,1388,16,960,79.1,343,37.6,1385,74.5,281,"8,593",1419,14.1,1166,2%,1384
Zhejiang Normal University,39.3,601,16.7,1521,15.5,995,87.5,197,65.4,226,30.5,1250,"26,928",507,11.7,1414,7%,875
Abdul Wali Khan University Mardan,34,602,15,1684,12,1293,88,183,36.9,1722,46.4,763,"10,314",1285,20.9,502,0%,1711
Åbo Akademi University,34,603,22,950,31.2,403,44.4,951,40,966,65,408,"5,399",1630,17.6,758,10%,686
Addis Ababa University,34,604,19.6,1159,12.4,1244,79.5,333,41.9,759,46.6,757,"46,881",122,14.8,1062,0%,1756
Ahvaz Jundishapur University of Medical Sciences (AJUMS),34,605,33.5,394,10,1510,65.5,565,37.5,1420,18.2,1738,"8,601",1416,11.6,1430,2%,1409
Ajou University,34,606,31.1,484,37.5,271,41.7,992,74.3,162,44.4,820,"7,574",1486,14.2,1156,17%,411
Amedeo Avogadro University of Eastern Piedmont,34,607,13.9,1752,22.2,660,64.5,578,37.5,1422,41.6,918,"14,292",1053,37.1,85,7%,826
American University,34,608,40.7,220,16.8,904,55.7,750,42.5,721,37.3,1034,"12,495",1152,11.6,1427,11%,647
American University of Sharjah,34,609,20.9,1041,21.3,696,45.6,932,38.9,1136,93.5,74,"4,468",1673,11.9,1403,76%,5
Amirkabir University of Technology,34,610,30.1,523,31.9,388,54.9,763,64.9,235,31.7,1204,"10,673",1260,21.2,478,2%,1326
University of Antofagasta,34,611,14.8,1702,9.5,1577,81,298,36.9,1728,52.4,618,"8,083",1452,20.4,535,2%,1331
University of Arkansas,34,612,29.1,561,27.6,485,48.5,882,39.5,1034,30.6,1246,"25,207",562,19.4,612,4%,1086
Auburn University,34,613,32.4,432,23.4,610,45.9,928,43.8,624,49.3,685,"27,512",485,18.2,698,10%,684
Azarbaijan Shahid Madani University,34,614,18.1,1325,13,1195,83.8,251,38.4,1202,22.7,1586,"7,350",1499,26.2,268,0%,1681
University of Babylon,34,615,18,1339,7.8,1782,85,236,37,1642,21.6,1629,"26,449",521,12.7,1319,0%,1771
Bahçeşehir University,34,616,19.3,1188,20.9,710,62.3,618,51.9,374,49.5,681,"17,813",860,47.2,32,18%,368
Bahria University,34,617,13.6,1764,9.1,1637,79.7,323,37.4,1460,43.7,843,"19,573",764,22.2,423,1%,1490
Banaras Hindu University,34,618,38.8,262,16.9,901,66,557,37,1653,20.1,1688,"13,900",1073,8.7,1658,3%,1271
University of Bari Aldo Moro,34,619,16.6,1536,22.8,634,72.5,448,38.9,1129,33.6,1147,"29,905",415,21.6,453,2%,1323
Bar-Ilan University,34,620,30.5,501,34,323,42,987,49.4,422,50.3,663,"17,255",887,17.3,783,4%,1101
Baylor University,34,621,33.7,387,18.3,829,52.4,807,37.4,1471,29.3,1299,"19,700",758,17.7,740,7%,858
Beirut Arab University,34,622,33.6,391,16.4,929,56.1,739,37,1662,83.9,175,"5,698",1610,12,1396,18%,384
Ben-Gurion University of the Negev,34,623,30.3,511,31.1,405,43.4,963,42.8,698,37,1042,"16,468",921,20.4,532,2%,1330
Benha University,34,624,16.5,1549,8.6,1708,77,372,37.8,1345,45.1,797,"110,645",21,32.5,146,3%,1162
Université Bourgogne Franche-Comté (UBFC),34,625,19.6,1160,18.3,833,69.7,491,40.7,869,55.4,567,"67,049",48,37.3,82,11%,619
Ca’ Foscari University of Venice,34,626,34.4,368,32.3,376,34.3,1124,44.6,582,60.8,465,"18,231",839,38.3,72,10%,668
University of Camerino (Unicam),34,627,20.9,1042,15.8,973,61.4,636,44.7,576,49.3,684,"8,129",1448,27.9,226,10%,672
University of Canterbury,34,628,25.2,726,27.5,489,45.3,940,39.7,1008,92,93,"15,245",997,18.4,691,22%,261
Capital Medical University,34,629,30.4,507,18.3,830,65.8,558,37.3,1505,22.8,1582,"15,254",996,4.9,1765,5%,1050
Carleton University,34,630,21.5,991,30.5,418,50.4,847,43,676,72.2,318,"28,760",447,29.7,187,22%,255
University of Central Florida,34,631,26.1,688,29.5,440,60.1,664,46,523,34.4,1123,"62,248",60,36.1,97,5%,968
Central Queensland University,34,632,19.4,1179,19.6,761,66.5,546,40.3,914,61.7,458,"15,453",983,20.7,513,26%,196
Chongqing University,34,633,27.8,611,33.2,342,52.8,797,85.2,93,24.8,1477,"40,696",185,19.9,570,3%,1197
Chung-Ang University,34,634,37.3,297,38.3,259,29.2,1230,78.6,126,56.1,553,"18,101",844,22.7,398,22%,258
Clark University,34,635,24.9,754,20.7,718,64.9,573,36.9,1739,58.4,508,"3,273",1712,11.6,1431,25%,217
University of Coimbra,34,636,25.1,736,35.2,308,40.4,1020,49.8,411,59.5,490,"21,429",692,18,715,19%,353
University of Colombo,34,637,28.9,569,9.6,1553,74.5,424,37,1648,37,1044,"31,792",362,31.9,151,0%,1665
COMSATS University Islamabad,34,638,17.1,1466,14.7,1049,78.2,358,37,1646,46.8,753,"33,465",316,14.8,1066,2%,1372
Concordia University,34,639,22.6,904,27.4,493,46.4,914,39.2,1081,85.6,157,"35,592",275,33.5,131,34%,98
University of Córdoba,34,640,22.7,895,21.2,701,56,741,39.4,1045,47.5,731,"16,847",906,13.5,1225,10%,705
University of Costa Rica,34,641,18.2,1311,9,1643,71.2,470,36.9,1732,48.1,717,"31,545",369,13.4,1228,2%,1389
Covenant University,34,642,22.1,939,24.8,563,59.4,679,44.3,595,46,771,"8,362",1437,15.5,983,1%,1559
Cyprus University of Technology,34,643,23.7,827,16.7,911,53.9,775,38.9,1132,78.6,235,"3,280",1711,16.9,832,14%,502
Dalian University of Technology,34,644,28.6,577,29.6,436,46.1,923,73,172,31.9,1196,"38,465",216,15,1038,3%,1229
Delhi Technological University,34,645,17.8,1371,17,898,80.1,313,42.5,720,17.3,1764,"11,196",1232,22.3,418,3%,1182
De Montfort University,34,646,17,1481,14.8,1045,59.3,681,37,1659,89.6,116,"24,490",583,20.2,550,38%,72
University of Derby,34,647,16.5,1550,12,1289,66.5,548,37.4,1466,70.2,343,"15,525",976,14.6,1098,18%,381
University of Desarrollo,34,648,15,1685,10.1,1508,73.8,432,39.6,1017,50.6,656,"15,933",952,15.9,938,3%,1223
University of Dhaka,34,649,15.2,1667,8.6,1714,85.9,223,37.3,1500,43.1,868,"211,424",6,16.1,903,3%,1221
Dow University of Health Sciences,34,650,20.8,1050,8.2,1755,74,428,37.2,1555,35.8,1075,"7,249",1510,6.8,1738,3%,1277
University of Eastern Finland,34,651,24.8,757,29.1,448,58.3,698,40,961,50.5,658,"11,898",1186,18.2,703,5%,992
Universidade Eduardo Mondlane,34,652,12.1,1795,8.4,1737,89.4,161,36.9,1721,48.7,702,"45,256",141,26.1,271,0%,1683
"University of Engineering and Technology, Taxila",34,653,15.1,1676,12.5,1237,88.9,168,37.2,1550,42.7,878,"5,290",1633,19.3,625,2%,1339
ENSTA Bretagne,34,654,26.3,683,23.3,613,48.7,876,64.7,236,49.5,680,830,1796,8.1,1694,5%,1043
Eötvös Loránd University,34,655,32.9,411,18.2,835,49.6,863,37.2,1563,52.1,625,"30,190",405,17.5,761,9%,736
Fayoum University,34,656,15.3,1662,10.4,1469,79.7,322,40.2,926,42.4,890,"44,786",147,16.8,833,0%,1736
Universidade Federal do Rio Grande do Sul,34,657,32.1,443,21.9,665,50.8,838,39.8,994,28.7,1318,"39,169",206,14.1,1159,1%,1578
Universidade Federal de São Paulo (UNIFESP),34,658,29.6,539,21.4,688,55.4,755,37.3,1510,30.5,1253,"18,877",796,10.3,1550,1%,1626
Federation University Australia,34,659,18.6,1259,15.8,975,70.5,480,41.1,829,81.2,206,"11,684",1197,22.2,426,52%,20
Financial University under the Government of the Russian Federation,34,660,18.8,1230,14.6,1058,71.1,472,39.7,1001,23.7,1530,"16,139",940,12.9,1294,7%,874
Gabriele d‘Annunzio University,34,661,15.1,1677,18.9,803,72.9,445,37.8,1346,38.4,1002,"23,416",619,32.4,148,2%,1297
University of Georgia,34,662,39.5,249,25.8,529,52.8,799,39.2,1078,37.6,1025,"37,465",235,13.2,1253,7%,871
Glasgow Caledonian University,34,663,18.4,1281,13.8,1118,65.4,566,37.4,1467,69,356,"14,270",1055,23.6,362,19%,350
University of Granada,34,664,23.2,858,28.8,458,50.5,845,37.2,1562,50.2,664,"54,619",81,14.5,1105,10%,697
Graphic Era University,34,665,25,743,9,1640,83.1,265,41.6,786,25.5,1446,"7,823",1471,14.3,1138,1%,1575
University of Graz,34,666,25.2,727,19.3,776,59.3,680,38.2,1251,81.7,200,"12,531",1151,12.4,1352,17%,414
Graz University of Technology,34,667,32,446,20.3,728,42.5,975,63.1,244,83.6,177,"6,353",1570,8.6,1668,23%,249
Guangzhou University,34,668,16.1,1592,14.3,1088,76.9,375,41.5,797,28.9,1305,"36,701",246,19.4,610,0%,1717
Guangzhou Medical University,34,669,22.2,932,8.3,1739,87.6,193,38.2,1237,24.2,1509,"12,891",1134,1.7,1790,2%,1435
Hacettepe University,34,670,29,564,26.1,518,51.9,818,89.1,76,25.7,1435,"38,444",217,20.1,556,3%,1194
University of Haifa,34,671,21.5,992,29.1,449,66.4,549,38.1,1273,36.1,1064,"17,353",883,17.7,742,3%,1210
Hamburg University of Technology,34,672,36.1,321,23.9,594,42.5,974,88.1,80,56.9,532,"4,668",1662,28.9,205,23%,237
Hazara University Mansehra,34,673,17.4,1429,10.1,1498,82,281,37,1644,44.3,825,"12,145",1171,26.5,259,0%,1679
University of Hertfordshire,34,674,17.7,1389,13.2,1174,58.1,701,37.3,1509,86.1,155,"18,780",799,15.5,981,38%,73
University of Houston,34,675,34.9,350,28,475,48.8,871,42.5,722,43.2,862,"46,958",121,27,248,7%,833
University of Huddersfield,34,676,23.2,859,23.7,601,49.8,857,39.7,1006,82.8,186,"14,410",1047,19.9,576,26%,197
Icesi University,34,677,19.1,1202,9.1,1632,86,219,37.4,1456,37.3,1036,"6,279",1577,8,1698,2%,1427
Ilam University of Medical Sciences,34,678,26.1,689,10.7,1428,85.1,235,38.5,1183,20.8,1663,"2,687",1738,13,1288,4%,1128
