name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
University of Texas at Austin,72.3,50,66.2,43,73.1,48,87.5,194,51.3,382,40.1,954,"49,171",103,17.4,771,10%,687
Fudan University,72,51,71.8,31,75.8,41,74.5,422,77.3,142,45.2,795,"36,318",256,11.9,1399,9%,750
Shanghai Jiao Tong University,71.2,52,75.3,27,82.9,26,59.9,669,100,8,43.7,838,"37,478",234,11.5,1434,8%,808
The University of Queensland,71.1,53,55.9,78,66.5,58,84.3,245,82,102,93.2,78,"41,372",174,34.2,117,41%,50
University of Manchester,70.9,54,54.5,88,63.7,69,91.3,129,45.3,551,92.7,85,"37,035",241,14.2,1142,44%,40
The University of Sydney,70.9,55,53.1,92,65.8,62,88.5,173,73.2,169,90.6,106,"45,853",135,19,638,45%,36
Seoul National University,70.8,56,75.2,28,76.2,38,67.6,524,96.6,31,35.9,1069,"26,209",530,15.1,1028,10%,694
Washington University in St Louis,70.6,57,60.3,54,56.8,101,98.2,44,47.5,470,64,424,"14,420",1046,7.8,1710,24%,232
The Hong Kong University of Science and Technology,70.5,58,51.4,101,63.4,70,87.7,190,95,40,97.7,14,"9,864",1314,21,496,32%,117
Wageningen University & Research,70.3,59,50.4,109,60.2,79,93.2,109,100,1,88.8,123,"15,404",988,18.6,673,27%,184
University of Amsterdam,69.6,60,48,126,64.1,68,93.3,106,44.4,589,91.9,95,"29,157",438,14.5,1107,32%,121
Brown University,69.3,61,64.5,48,58,94,89.5,157,39,1104,63.3,435,"10,037",1300,10.1,1567,21%,312
Australian National University,69,62,51.3,102,69.2,54,81.8,283,45.6,538,96,31,"16,758",909,14.6,1097,51%,24
"University of California, Davis",68.5,63,59.7,59,66.3,59,80.9,299,52.4,363,68.7,360,"37,639",228,13.1,1261,18%,383
"University of California, Santa Barbara",68.4,64,44.6,164,61.5,76,96.2,75,80.1,111,76,264,"25,860",542,28.5,212,20%,321
University of Southern California,68.3,65,58.9,64,58.6,87,90.4,139,43.8,621,63.7,430,"40,549",186,12.6,1333,22%,275
Utrecht University,68.2,66,44.3,169,66,61,91.2,130,72.7,173,78.8,232,"32,532",339,17.1,796,13%,552
Zhejiang University,68.1,67,67.3,37,74.8,43,62.8,611,100,7,55.1,571,"46,124",131,12,1388,16%,444
Kyoto University,68,68,77.5,24,79.1,31,52.3,809,88.6,79,40.5,944,"22,269",660,9.2,1631,12%,611
University of North Carolina at Chapel Hill,67.8,69,58.9,65,59.7,82,93.3,107,46,522,41.7,911,"31,080",381,7.9,1701,8%,821
Delft University of Technology,67.7,70,58.8,66,76.4,36,59.1,683,93.4,49,94.2,58,"20,299",735,16.1,908,31%,133
Boston University,67.5,71,55.9,79,56.1,102,92.9,110,41.1,828,65.9,391,"27,243",495,10.8,1502,31%,136
UNSW Sydney,67.5,72,51.1,104,59,84,85.9,220,63.5,241,95.1,42,"45,133",142,36.3,94,40%,58
Charité - Universitätsmedizin Berlin,67.2,73,48.5,120,52.2,124,98.8,30,87.1,85,69.3,351,"8,429",1432,18,718,21%,298
University of Science and Technology of China,67.1,74,65,47,64.9,63,78.8,346,69.4,200,36.9,1045,"18,573",812,8.1,1690,6%,962
University of Groningen,66.6,75,45.4,155,57.6,96,90.4,140,75.8,151,89.8,110,"30,009",411,24.4,331,28%,164
University of Bristol,66.5,76,43.8,173,53.4,118,98.6,34,43.5,642,89.4,117,"25,680",546,14.6,1093,31%,135
Leiden University,66.4,77,43.2,185,64.4,65,86.6,208,68.4,206,85.4,161,"33,648",306,19.3,619,20%,330
Yonsei University (Seoul campus),66.3,78,67,41,68.9,55,63.9,592,94.8,41,52.8,610,"19,481",767,14.7,1076,17%,410
Hong Kong Polytechnic University,65.8,79,46.6,138,57,98,86.7,207,56,306,97.6,16,"19,046",791,28.9,204,30%,139
Erasmus University Rotterdam,65.7,80,38.6,268,57.1,97,95.6,84,64.4,238,89.7,114,"31,668",365,33.9,123,22%,254
University of Wisconsin-Madison,65.5,81,59.7,60,62.9,71,78.7,348,48.4,444,51.8,630,"40,701",184,10,1569,14%,526
Emory University,65.3,82,54.8,86,46,172,98,45,48.6,438,59.8,483,"13,190",1108,4.2,1775,20%,346
University of Glasgow,65.3,83,43.3,182,50.8,133,96.5,72,41.9,757,93.8,67,"28,540",452,13.5,1221,41%,54
University of Zurich,65.3,84,51.5,99,50.7,134,87.5,196,57.6,292,93,81,"25,003",567,13.7,1204,22%,273
McMaster University,65.1,85,42.7,189,51.1,132,94.6,96,89.9,66,84.7,165,"26,403",522,29,202,20%,320
Humboldt University of Berlin,64.9,86,55.2,83,64.3,66,75.6,397,42.8,695,70.5,340,"34,399",292,53.2,17,17%,393
University of Tübingen,64.9,87,51.1,105,58.2,92,84.5,241,79.9,115,64.1,421,"20,620",722,27.5,235,13%,535
University of Adelaide,64.7,88,42.7,190,51.8,126,92.2,118,65.3,228,93.6,71,"23,102",632,32.8,140,32%,115
University of Bonn,64.6,89,51.6,98,56.1,103,86,216,55,322,68.7,359,"27,210",498,47.5,29,17%,394
Sorbonne University,64.5,90,58.7,67,58.3,90,76.6,378,40,959,72.3,317,"41,443",172,13.9,1185,21%,306
Free University of Berlin,64.2,91,54.2,91,62.4,72,74.8,415,41.7,779,76.4,260,"26,497",518,41.9,53,23%,235
Korea Advanced Institute of Science and Technology (KAIST),64.2,92,64.5,49,66,60,65.7,559,100,6,38.2,1007,"9,946",1306,10.7,1516,9%,753
Université Paris-Saclay,63.9,93,56.7,74,55.2,109,79.1,342,54.6,329,69.7,346,"44,443",149,14.9,1049,19%,358
University of Bern,63.7,94,46,145,46.5,162,90.7,134,86.3,88,88.2,134,"11,728",1194,17.2,794,17%,408
"University of California, Irvine",63.6,95,43.5,176,51.6,127,93.6,103,59.4,277,73.2,295,"36,655",248,16.9,821,28%,170
Institut Polytechnique de Paris,63.6,96,58.5,68,58.8,85,64.8,575,72.7,174,95.6,37,"5,999",1594,6.7,1742,41%,56
Nanjing University,63.6,97,58.4,69,58.2,91,74.3,425,87.3,84,55.2,568,"36,426",253,16.5,864,8%,786
Vanderbilt University,63.5,98,49.5,113,47.5,150,96.5,73,66.7,216,50.6,655,"12,696",1142,3.8,1778,15%,484
City University of Hong Kong,63.4,99,47.2,130,53,120,79.9,318,76.6,147,99.6,2,"9,099",1377,12.1,1383,62%,11
RWTH Aachen University,63.4,100,56.8,73,64.5,64,66.1,555,93.8,46,65.1,402,"39,738",199,50,22,28%,160
University of Basel,63,101,47,133,44.1,186,86.5,212,99.2,20,96.8,21,"8,632",1414,10.9,1493,30%,144
King Abdulaziz University,63,102,51.7,97,36.7,284,91.9,122,74.2,164,93.6,70,"31,545",368,7.8,1707,22%,284
University of Minnesota,63,103,55.1,84,56.9,100,81.2,293,77.8,136,41.7,909,"61,009",63,12,1387,10%,708
"University of Maryland, College Park",62.9,104,48.1,124,57.7,95,89.7,154,40,955,42.6,880,"33,775",304,16.5,865,11%,629
University of Warwick,62.9,105,44.8,160,49.6,139,88.1,178,42.7,702,94.9,44,"23,230",628,13.1,1268,44%,42
Michigan State University,62.8,106,56.2,77,55.6,106,78.8,347,39.9,976,61.9,454,"45,465",139,16,916,13%,553
Ghent University,62.7,107,48.6,118,60.1,80,77.8,364,80,113,63.9,425,"39,437",201,35.6,101,12%,577
University of Birmingham,62.6,108,40.5,223,46.2,170,95.2,87,42.3,731,92.2,91,"31,820",361,15,1039,34%,102
University of Southampton,62.6,109,41.4,209,47.5,153,92.3,117,44.1,605,94.6,51,"21,175",702,13.7,1205,39%,68
University of Helsinki,62.5,110,45.9,149,58.5,89,86.6,209,39.1,1089,57,531,"23,059",633,15.8,948,5%,1003
University of Montreal,62.3,111,50.9,107,53.2,119,75.8,393,76.5,148,85.5,158,"38,189",223,20.8,503,22%,259
Ohio State University (Main campus),62.2,112,53,93,51.2,130,83.4,256,55.3,316,60.3,474,"55,814",78,11.8,1405,13%,567
University of Freiburg,61.9,113,47.8,128,52.8,121,80.8,302,96.2,34,67.3,378,"20,253",737,37.2,83,17%,397
University of Copenhagen,61.7,114,45.1,157,47.5,151,87.2,201,55,321,84.7,166,"31,519",371,4.2,1773,16%,452
Université Paris Cité,61.7,115,51.5,100,44.8,179,89.3,162,37.3,1498,68.3,365,"62,747",57,17,803,19%,355
University of Sheffield,61.7,116,43.6,175,46.4,164,89.5,158,47.4,474,88.5,130,"27,465",490,14.5,1108,41%,53
Aarhus University,61.2,117,40.6,221,60,81,77.6,365,74.1,165,77.9,240,"26,475",519,13.5,1222,10%,704
University of Alberta,61.1,118,48.8,115,52.7,122,72.9,444,82.7,100,89.2,120,"32,338",341,21.6,452,28%,165
University of Göttingen,61,119,46.3,142,53.8,116,83.9,250,40.1,941,63,438,"30,221",403,26,275,14%,491
Lund University,61,120,40.5,224,55.5,108,81,296,79.5,118,78.5,237,"28,545",451,11.5,1436,18%,386
Vrije Universiteit Amsterdam,60.9,121,38.4,274,52.2,125,87.5,195,59.1,281,79.4,225,"29,796",418,19.8,584,16%,429
Lancaster University,60.8,122,38.7,264,40,235,96.9,67,38.3,1220,94.9,46,"14,380",1048,12.8,1309,39%,69
Dartmouth College,60.7,123,59.8,57,40.4,230,88.2,177,40,956,42,903,"6,440",1559,7.8,1711,15%,481
Queen Mary University of London,60.4,124,34.3,369,41.3,218,97.7,49,44,613,97.1,19,"20,505",728,13.1,1269,46%,35
University of Vienna,60.4,125,49.4,114,59.3,83,65.1,570,44.8,572,95.8,35,"35,929",265,42.9,48,29%,148
University of Oslo,60.2,126,40.1,229,48.5,143,89,165,44.5,584,77,250,"21,548",689,13.3,1241,15%,474
Purdue University West Lafayette,60.1,127,55.9,80,64.2,67,56.9,721,67.8,212,71.1,332,"44,551",148,16.9,820,20%,334
University of Hamburg,59.8,128,46.5,139,54.4,111,75.4,403,96.1,36,60.4,470,"30,676",388,61.5,12,12%,576
University of Leeds,59.8,129,46,146,47.8,148,79.3,337,40.5,893,91.8,96,"33,990",298,14.6,1090,36%,84
University of Nottingham,59.6,130,41.8,203,44.1,187,86.6,210,41.7,775,90.4,108,"32,875",331,15.1,1027,31%,134
